Series_Title,Released_Year,Certificate,Runtime,Genre,IMDB_Rating,Director
Tropa_de_Elite_2_O_Inimigo_Agora_Ã©_Outro,2010,,115,Action,8,JosÃ© Padilha
How_to_Train_Your_Dragon,2010,U,98,Animation,8.1,Dean DeBlois
Shutter_Island,2010,A,138,Mystery,8.2,Martin Scorsese
Toy_Story_3,2010,U,103,Animation,8.2,Lee Unkrich
Udaan,2010,UA,134,Drama,8.2,Vikramaditya Motwane
Incendies,2010,R,131,Drama,8.3,Denis Villeneuve
Inception,2010,UA,148,Action,8.8,Christopher Nolan
50/50,2011,R,100,Comedy,7.6,Jonathan Levine
La_piel_que_habito,2011,R,120,Drama,7.6,Pedro AlmodÃ³var
Moneyball,2011,PG-13,133,Biography,7.6,Bennett Miller
Serbuan_maut,2011,A,101,Action,7.6,Gareth Evans
Detachment,2011,,98,Drama,7.7,Tony Kaye
Midnight_in_Paris,2011,PG-13,96,Comedy,7.7,Woody Allen
Rockstar,2011,UA,159,Drama,7.7,Imtiaz Ali
X_First_Class,2011,UA,131,Action,7.7,Matthew Vaughn
Drive,2011,A,100,Crime,7.8,Nicolas Winding Refn
The_Girl_with_the_Dragon_Tattoo,2011,R,158,Crime,7.8,David Fincher
Bir_Zamanlar_Anadolu'da,2011,,157,Crime,7.9,Nuri Bilge Ceylan
The_Artist,2011,U,100,Comedy,7.9,Michel Hazanavicius
The_Help,2011,UA,146,Drama,8,Tate Taylor
Harry_Potter_and_the_Deathly_Hallows_Part_2,2011,UA,130,Adventure,8.1,David Yates
Zindagi_Na_Milegi_Dobara,2011,U,155,Comedy,8.1,Zoya Akhtar
Warrior,2011,UA,140,Action,8.2,Gavin O'Connor
Jodaeiye_Nader_az_Simin,2011,PG-13,123,Drama,8.3,Asghar Farhadi
The_Intouchables,2011,UA,112,Biography,8.5,Olivier Nakache
El_cuerpo,2012,,112,Mystery,7.6,Oriol Paulo
End_of_Watch,2012,A,109,Action,7.6,David Ayer
Argo,2012,A,120,Biography,7.7,Ben Affleck
Silver_Linings_Playbook,2012,A,122,Comedy,7.7,David O. Russell
Skyfall,2012,UA,143,Action,7.7,Sam Mendes
The_Broken_Circle_Breakdown,2012,,111,Drama,7.7,Felix van Groeningen
Wreck-It_Ralph,2012,U,101,Animation,7.7,Rich Moore
English_Vinglish,2012,U,134,Comedy,7.8,Gauri Shinde
Moonrise_Kingdom,2012,A,94,Comedy,7.8,Wes Anderson
The_Hobbit_An_Unexpected_Journey,2012,UA,169,Adventure,7.8,Peter Jackson
Vicky_Donor,2012,UA,126,Comedy,7.8,Shoojit Sircar
Amour,2012,UA,127,Drama,7.9,Michael Haneke
Life_of_Pi,2012,U,127,Adventure,7.9,Ang Lee
The_Avengers,2012,UA,143,Action,8,Joss Whedon
